clf,dataset_name,dataset_type,auc,distances
RISF,IMDB-BINARY,graph,0.3317,Ips_Jac_Net_euc
RISF,IMDB-BINARY,graph,0.3325,Ips_Jac_Net_euc
RISF,IMDB-BINARY,graph,0.3233,Ips_Jac_Net
RISF,IMDB-BINARY,graph,0.3092,Ips_Jac_Net
RISF,IMDB-BINARY,graph,0.3617,Ips_Jac_Net
RISF,IMDB-BINARY,graph,0.3267,Ips_Jac_euc
RISF,IMDB-BINARY,graph,0.3542,Ips_Jac_euc
RISF,IMDB-BINARY,graph,0.2683,Ips_Jac_euc
RISF,IMDB-BINARY,graph,0.32,Ips_Jac
RISF,IMDB-BINARY,graph,0.3717,Ips_Jac
RISF,IMDB-BINARY,graph,0.3225,Ips_Jac
RISF,IMDB-BINARY,graph,0.4517,Ips_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.2733,Ips_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3725,Ips_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4758,Ips_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.34,Ips_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4092,Ips_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.5925,Ips_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.335,Ips_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.3358,Ips_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.43,Ips_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.39,Ips_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.4192,Ips_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.49,Ips_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.2758,Ips_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3625,Ips_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.4058,Ips_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.295,Ips_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.4575,Ips_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.5025,Ips_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.4967,Ips_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.3492,Ips_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.5633,Ips_Oni_Net
RISF,IMDB-BINARY,graph,0.3792,Ips_Oni_Net
RISF,IMDB-BINARY,graph,0.4133,Ips_Oni_Net
RISF,IMDB-BINARY,graph,0.43,Ips_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.315,Ips_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3283,Ips_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.5058,Ips_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.3208,Ips_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.4258,Ips_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.4433,Ips_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.3942,Ips_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.4217,Ips_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.4575,Ips_Oni_Deg
RISF,IMDB-BINARY,graph,0.3592,Ips_Oni_Deg
RISF,IMDB-BINARY,graph,0.4217,Ips_Oni_Deg
RISF,IMDB-BINARY,graph,0.4117,Ips_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.3667,Ips_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.3508,Ips_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.4208,Ips_Oni_Net
RISF,IMDB-BINARY,graph,0.2792,Ips_Oni_Net
RISF,IMDB-BINARY,graph,0.3742,Ips_Oni_Net
RISF,IMDB-BINARY,graph,0.3433,Ips_Oni_euc
RISF,IMDB-BINARY,graph,0.3933,Ips_Oni_euc
RISF,IMDB-BINARY,graph,0.2675,Ips_Oni_euc
RISF,IMDB-BINARY,graph,0.535,Ips_Oni
RISF,IMDB-BINARY,graph,0.4383,Ips_Oni
RISF,IMDB-BINARY,graph,0.3733,Ips_Oni
RISF,IMDB-BINARY,graph,0.5075,Ips_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.29,Ips_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3958,Ips_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4808,Ips_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.3283,Ips_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4108,Ips_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4592,Ips_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.41,Ips_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.35,Ips_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.4258,Ips_Net_Deg
RISF,IMDB-BINARY,graph,0.4258,Ips_Net_Deg
RISF,IMDB-BINARY,graph,0.29,Ips_Net_Deg
RISF,IMDB-BINARY,graph,0.4508,Ips_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3733,Ips_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3975,Ips_Net_Net_euc
RISF,IMDB-BINARY,graph,0.4325,Ips_Net_Net
RISF,IMDB-BINARY,graph,0.3533,Ips_Net_Net
RISF,IMDB-BINARY,graph,0.3792,Ips_Net_Net
RISF,IMDB-BINARY,graph,0.4258,Ips_Net_euc
RISF,IMDB-BINARY,graph,0.3608,Ips_Net_euc
RISF,IMDB-BINARY,graph,0.1883,Ips_Net_euc
RISF,IMDB-BINARY,graph,0.4033,Ips_Net
RISF,IMDB-BINARY,graph,0.36,Ips_Net
RISF,IMDB-BINARY,graph,0.3658,Ips_Net
RISF,IMDB-BINARY,graph,0.4683,Ips_Deg_Net_euc
